name,x,y,radius
1,0.5908446386657102,0.7667970365022592,0.4
2,0.457299520494737,0.7077699792705145,0.4
3,0.5079376249288817,0.5294041244511035,0.2
4,0.5476119740533871,0.6530566070817433,0.2
5,0.7264919107486086,0.7323712054078213,0.2
6,0.6592446520391129,0.6437481027089863,0.4
7,0.5639609879351265,0.929760884731707,0.2
8,0.7366849802693441,0.9939664701559054,0.4
9,0.694978031346144,0.46927792658729484,0.4
10,0.8951939004740437,0.6725615858375825,0.2
11,0.3884047332082817,0.627781903182368,0.2
12,0.7760818615980932,0.8819746165747193,0.2
13,0.44265003350751647,0.8133127627100909,0.2
14,0.9081099810019746,0.9407198746148863,0.4
15,0.9988727404857518,0.8140079397722548,0.2
16,0.7387639095272176,0.5724834762408668,0.4
17,0.40192776164156097,0.45352860678645396,0.4
18,0.9695601929698381,0.549445827449084,0.2
19,0.3513927890351285,0.32594656720529364,0.2
20,0.6119057613454835,0.40598320455585224,0.4
21,0.857183288464199,0.5031324530837695,0.2
22,0.6595232109321393,0.8503190387997672,0.2
23,0.6207147468581532,0.30458451784931395,0.4
24,0.4536278445464215,0.2992318043272645,0.2
25,0.4583578003111063,0.9661677816808383,0.4
26,0.2539982595454347,0.28877744530167865,0.2
27,0.24980830835726175,0.6389958433091064,0.4
28,0.43572536469880574,0.1348924785571997,0.4
29,0.9915699413691813,0.6999801015338801,0.2
30,0.6106128344603932,0.5478785185947964,0.2
31,0.38201702685904027,0.8961834805594338,0.2
32,0.7281385444242379,0.3660982803270031,0.4
33,0.4957232398195207,0.3994981593774819,0.2
34,0.5750924681023214,0.18007060165282768,0.2
35,0.8620581508120132,0.8136516704073807,0.4
36,0.26122050814258285,0.4259311879639786,0.4
37,0.17762915869107565,0.515618891296255,0.2
38,0.3394550943517164,0.2059682220873001,0.4
39,0.3508229474725327,0.7313686241493147,0.2
40,0.24480811458993906,0.154820657482529,0.4
41,0.08478297900549986,0.42519909653630017,0.4
42,0.9983977363195289,0.4491328693939588,0.2
43,0.3452685552654979,0.013685669523049865,0.2
44,0.00022833990008665206,0.33687948572697496,0.4
45,0.10091669709159476,0.6407815687335743,0.2
46,0.6130480923395462,0.07997540764737135,0.2
47,0.46675975636434375,0.02188232937688972,0.4
48,0.7984387339132578,0.043341179770044924,0.2
49,0.19545396696023878,0.7759343790661783,0.2
50,0.24245845588069054,0.8982796524900798,0.4
51,0.06078317054311558,0.9234541028084232,0.2
52,0.14963620202551636,0.3154844804304992,0.2
53,0.04928415747138437,0.7365182678246152,0.2
54,0.13939754324038428,0.21132071382914447,0.2
55,0.023582597450043458,0.5169378341025495,0.2
56,0.12918928395095775,0.05558296523533654,0.4
57,0.8479007644390252,0.3931725950132629,0.4
58,0.7238012719812086,0.22367071689070894,0.2
59,0.19956699187196242,0.9978223040226474,0.2
60,0.9535651857540925,0.0240749298734463,0.2
61,0.29682381477370007,0.5309933938313784,0.4
62,0.8640046034718833,0.2819322412155391,0.4
63,0.9600212499247062,0.3251686772255648,0.2
64,0.03509943683625394,0.22107656099344855,0.4
65,0.02604385335997822,0.10264445139293865,0.2
66,0.944087168909246,0.20987401842167175,0.4
67,0.796009801857696,0.14892785233478822,0.2
68,0.8952099426003203,0.1057115168298729,0.2
69,0.6985918899494048,0.003953284671781777,0.4
70,0.3118793614945973,0.9750177747788125,0.4
