name,x,y,radius
1,0.5908446386657102,0.7667970365022592,0.2
2,0.417235985043445,0.6900618621009912,0.2
3,0.48306552080783316,0.4581862508357568,0.2
4,0.5346421746696901,0.6189344782555884,0.4
5,0.7671860923734781,0.7220434560794899,0.2
6,0.6797646560511337,0.6068334225710045,0.2
7,0.5558958927159514,0.9786500392005414,0.4
8,0.7990484210583924,0.9004859819775901,0.2
9,0.7023781074508987,0.38043374539444635,0.4
10,0.8253136128411659,0.6008183602406971,0.4
11,0.3276727615710531,0.5860773631864007,0.2
12,0.9927588925680944,0.7794105382854605,0.4
13,0.1933864177342076,0.648047361223038,0.2
14,0.9991174579318355,0.9371401737494306,0.2
15,0.9829175772021551,0.6122394877115988,0.2
16,0.33556564389935073,0.2610476152799437,0.2
17,0.6348654179702187,0.19421242540758013,0.4
18,0.4764991939712326,0.031494838916070605,0.2
19,0.9596443534002546,0.39859836421051453,0.2
20,0.48592400619206033,0.849983614358213,0.2
21,0.42328323323646383,0.9956224917921381,0.4
22,0.2529356810148343,0.3985345747261472,0.2
23,0.34321180637843873,0.061095046646583925,0.4
24,0.007968766363326552,0.5256662019540264,0.4
25,0.8376686666738035,0.45192385909423666,0.4
26,0.04579747233616576,0.3581038018888035,0.4
27,0.16597218293027094,0.5069334606669519,0.4
28,0.0395201323036609,0.6566359342202368,0.4
29,0.5057934231719425,0.3166019997435437,0.2
30,0.7310398523439694,0.02015674737356916,0.2
31,0.015421386597892953,0.864157844324921,0.2
32,0.8527207294621854,0.31222378639057474,0.4
33,0.2131991079750801,0.02774873808600907,0.2
34,0.11931569262310227,0.15762564998055567,0.2
35,0.2645460580904871,0.7872472589248666,0.4
36,0.11941523317323428,0.9608035401671388,0.2
37,0.00787750565689975,0.043750079868963385,0.2
38,0.6642674352556699,0.8969467433568865,0.2
39,0.30171158490736155,0.9207020819420966,0.2
40,0.13544768092361567,0.7665271872577222,0.4
41,0.4517936841461519,0.16626613400084844,0.4
42,0.909391966654391,0.10631081781771352,0.4
43,0.7826557772844153,0.17156627139375552,0.2
44,0.9899974422226132,0.24752876074770933,0.4
